"filename", "language", "TypeScript", "JavaScript", "PHP", "HTML", "CSS", "comment", "blank", "total"
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/index.html", "HTML", 0, 0, 0, 60, 0, 0, 15, 75
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/index.js", "JavaScript", 0, 74, 0, 0, 0, 9, 22, 105
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/orderhistory.js", "JavaScript", 0, 82, 0, 0, 0, 5, 18, 105
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/signin.js", "JavaScript", 0, 55, 0, 0, 0, 3, 11, 69
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/signup.js", "JavaScript", 0, 41, 0, 0, 0, 5, 5, 51
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/staffsignin.js", "JavaScript", 0, 56, 0, 0, 0, 3, 12, 71
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/success.js", "JavaScript", 0, 97, 0, 0, 0, 6, 21, 124
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/verify.js", "JavaScript", 0, 32, 0, 0, 0, 4, 5, 41
"/Users/riadmammadov/Documents/Individual Project/Code/src/server.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 8, 29
"/Users/riadmammadov/Documents/Individual Project/Code/src/services/cognito.service.ts", "TypeScript", 121, 0, 0, 0, 0, 5, 22, 148
"/Users/riadmammadov/Documents/Individual Project/Code/src/types/express/index.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 453, 1598, 788, 829, 1914, 361, 1500, 7443
